ethnicity,gender,mean,median,lower,upper
asian,female,33.1083009175382,33.088028466982,30.319470898932,36.3982965283879
asian,male,34.2040333693539,34.2066274417089,31.4762722836434,37.1224096839684
black,female,46.2183375138672,46.2267431380069,44.1845324764525,48.2192023779702
black,male,42.0561114066966,42.0456076929912,40.2026328499487,44.013043172418
hispanic,female,33.363388031402,33.3306498637643,30.8142765919735,36.2436416700004
hispanic,male,36.5569624769031,36.4762776341451,33.9004329925917,39.4806139942177
other,female,40.1400530792862,40.1753597229592,38.3209887727451,42.0249068375625
other,male,39.2107387064223,39.1706064287651,37.293878773925,41.0209383955805
white,female,42.1295099113805,42.1539327611421,41.0010891345771,43.1785730126686
white,male,43.3804985139133,43.3476858586305,42.2317537670017,44.603834321272
