ethnicity,gender,mean,median,lower,upper
asian,female,50.6726632820859,50.7209515885451,47.2791193260222,54.233769730935
asian,male,62.6393284236492,62.6505947569455,59.5310324542147,65.5675403207654
black,female,68.8483885503491,68.8875750323233,66.8755533829411,70.7649186471688
black,male,70.8408424220253,70.8680250643903,69.0139786388903,72.5976664857358
hispanic,female,54.0652723852495,54.1170783623609,50.8074675608908,57.1534284041315
hispanic,male,64.1975246050918,64.1998111813407,61.358052679588,67.1713921037175
other,female,63.6269052177479,63.6220729205436,61.7731591459711,65.4844467682122
other,male,68.9316209234091,68.9322357990478,66.9689925552677,70.9120949403302
white,female,65.1762390368004,65.1860846441766,63.981567526986,66.3202495192394
white,male,71.8565152455216,71.8356773777532,70.7672849925244,72.9655360824739
