ethnicity,gender,mean,median,lower,upper
asian,female,32.0087407831148,31.9905064774459,28.9791756157868,35.2099515452893
asian,male,33.7693226554599,33.7630700647025,30.7223469971983,36.6875353435424
black,female,46.6646126358443,46.6079567416634,44.7954914272127,48.8158969151913
black,male,41.4966207360963,41.5599769282797,39.4601864137628,43.4071413511749
hispanic,female,32.8710726409791,32.781666030341,30.3964319555457,35.8346372003524
hispanic,male,36.1306395455877,36.1181429542665,33.5742843485027,39.0678911031201
other,female,37.6792266407939,37.6616193364477,35.9233746568328,39.4028512251862
other,male,37.6887363974437,37.6680726585626,35.9455139572647,39.4258808328284
white,female,41.9637172732372,41.9360111449202,40.8730533392124,43.121982388265
white,male,42.7740958046583,42.7951328129717,41.7926330512849,43.9410417389607
