ethnicity,gender,mean,median,lower,upper
asian,female,49.4350841434681,49.4412073946768,46.2861066144328,52.8637093617024
asian,male,61.0813478624641,61.1441715826596,58.0266930137816,64.2781603325049
black,female,68.2510246161118,68.2629934412535,66.4178743832699,69.9576937946548
black,male,69.715553234528,69.7178490401493,68.1135097434191,71.4494039663962
hispanic,female,52.9302332365974,52.9021537475752,49.9826645725434,56.281946574313
hispanic,male,63.0591109058987,63.103608837487,60.1218906114739,66.1107496183538
other,female,61.536688484232,61.5289081167874,59.7743263010776,63.2365712139435
other,male,66.2293685045944,66.2403554910808,64.4166076560745,67.9013378624545
white,female,64.3941928405386,64.3686446303217,63.3270213997257,65.4229858494881
white,male,70.7655501343547,70.767474144241,69.7695597859952,71.8763219599377
