ethnicity,gender,mean,median,lower,upper
asian,female,49.4947331249523,49.5321268942312,46.3083776144768,52.7217210723736
asian,male,61.646842281892,61.5630665676086,58.5956478921972,64.6599784909397
black,female,68.2691332567398,68.3061351248051,66.4895178495929,69.9789239131724
black,male,70.4028194787409,70.3977663916382,68.6661841040003,72.0904492839861
hispanic,female,52.8868814029008,52.9142583061393,49.5916838038344,55.8807792667499
hispanic,male,64.01362168559,64.06475481749,60.8362013994718,67.0394671085623
other,female,58.7152709452432,58.7409937291165,56.9600041097419,60.3602026913649
other,male,64.9984331416393,65.0476431146742,63.2142038862033,66.6680972352113
white,female,63.0983803831695,63.093711793229,62.0608858892703,64.2315327267674
white,male,70.9709216269209,70.9963326412542,69.9225120320827,72.0712406699652
