ethnicity,gender,mean,median,lower,upper
asian,female,50.8950089344008,50.9677806494058,47.7777543409888,54.1012637480033
asian,male,62.5114584259821,62.5232045126855,59.5908160165694,65.4083678284371
black,female,68.9973273645843,69.0737829820186,67.044864415712,70.7617725283408
black,male,71.3369392803078,71.3759146492693,69.5520337163119,73.0294785240353
hispanic,female,53.8942514688545,53.9966146106828,50.8024262047584,56.9971432629025
hispanic,male,64.8826743366599,64.8918670543873,61.9315882921325,67.858209281137
other,female,59.4546638838154,59.4269982756931,57.7297142368252,61.2659832163631
other,male,65.8155163856078,65.8581330122822,64.1086697460412,67.4712030817493
white,female,63.6424695368297,63.6433361042653,62.6407383409056,64.7164158809992
white,male,71.5171678783374,71.5150866143461,70.5808650892136,72.451194401882
