ethnicity,gender,mean,median,lower,upper
asian,female,48.5640343285932,48.5222282420032,45.1406730306062,51.9229043566762
asian,male,59.6984888461124,59.6947013024815,56.3152913552494,62.9606362214801
black,female,67.7319828435534,67.7135022145569,65.817187812814,69.7748265185764
black,male,68.6112462576816,68.661245473981,66.480016584242,70.3705993638305
hispanic,female,51.9011389897786,51.8644995241312,48.8358703263259,55.1564238393216
hispanic,male,61.8187829693738,61.8179534586945,58.940431944407,64.588791111585
other,female,59.9573227344571,59.9400563674459,58.0043546979274,61.7936963920548
other,male,64.3401370832279,64.3182487291016,62.5746717836653,66.2348051499783
white,female,63.5915411215363,63.5900537222256,62.386180395597,64.8118761375506
white,male,69.7147662061644,69.7057985357674,68.6396554582109,70.7663370456169
